index;dadosBasicos.numero;principal;dadosBasicos.classeProcessual;descricao_classe;dadosBasicos.orgaoJulgador.codigoOrgao;dadosBasicos.orgaoJulgador.nomeOrgao;DSC_TIP_ORGAO;assuntoLocal;assuntoLocal.descricao;codigoAssunto;assuntoLocalPai;codigoPaiNacional;cod_assunto;descricao_assunto;cod_assunto_classe;ocorrencia_ac;valid_ac;categoria;tribunal;cl_principal
   23;3,88E+16;FALSE;  460;Recurso Inominado Cível;21654;GAB. 28 DE JUIZ FED. DA 10º TURMA RECURSAL DO JEF DE SÃO PAULO;1;NA;NA;NA;NA;NA; 6099;Aposentadoria por Tempo de Serviço (Art. 52/4);6099 460;  251;1;0;3;2
   24;5,01E+19;TRUE; 1116;Execução Fiscal;12695;7ª Vara Federal de Londrina;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
   25;9,40E+18;FALSE; 1114;Execução Contra a Fazenda Pública;12943;17? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 5989;Parcelamento;5989 1114;  576;1;0;3;2
   26;3,51E+16;FALSE;  183;Cautelar Inominada;12641;3ª Vara Federal de Curitiba;7;NA;NA;NA;NA;NA;10155;Cruzados Novos / Bloqueio;10155 183;  172;0;1;4;2
   27;8,03E+15;TRUE; 1116;Execução Fiscal;14314;7ª VARA FEDERAL DE SANTOS;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   28;5,44E+16;TRUE; 1116;Execução Fiscal;13995;7ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   29;1,03E+16;TRUE;    7;Procedimento Comum Cível;12517;4ª VARA FEDERAL DE GUARULHOS;7;NA;NA;NA;NA;NA; 6108;Incapacidade Laborativa Parcial;6108 7;    8;1;1;3;2
   30;4,63E+15;TRUE;  202;Agravo de Instrumento;63777;Desembargadora Federal LETÍCIA DE SANTIS MELLO;3;NA;NA;NA;NA;NA; 6081;FUNDAF/Fundo Especial de Desenvolvimento e Aperfeiçoamento das Atividades de Fiscalização;6081 202;    2;1;1;2;2
   31;2,15E+16;TRUE;  279;Inquérito Policial;12362;Guanambi;7;NA;NA;NA;NA;NA; 3524;Moeda Falsa / Assimilados;3524 279;  329;1;0;1;268
   32;1,00E+17;TRUE; 1116;Execução Fiscal;13989;1ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6048;Contribuições Previdenciárias;6048 1116; 2211;1;0;3;2
   33;5,62E+16;TRUE;  386;Execução da Pena;12421;3ª - Porto Velho;7;NA;NA;NA;NA;NA; 7791;Pena Privativa de Liberdade;7791 386;  145;1;0;1;385
   34;6,67E+16;FALSE;  198;Apelação Cível;21697;GAB. 28 - DES.FED. DAVID DANTAS;3;NA;NA;NA;NA;NA; 6178;Restabelecimento;6178 198;  124;1;0;3;2
   35;1,17E+17;FALSE;    7;Procedimento Comum Cível;12224;3ª VARA FEDERAL;1;NA;Reajustes de Remuneração, Proventos ou Pensão;NA;NA;NA;10219;Servidor Público Civil;10219 7; 4817;0;1;5;2
   36;2,04E+18;FALSE;  198;Apelação Cível;21727;S?TIMA TURMA;3;NA;NA;NA;NA;NA; 6173;Pedidos Genéricos Relativos aos Benefícios em Espécie;6173 198;  421;1;0;3;2
   37;5,04E+18;TRUE; 1111;Execução de Título Judicial;12194;7a. Vara Federal;1;NA;NA;NA;NA;NA; 6062;1/3 de férias;6062 1111;  673;1;0;5;2
   38;5,00E+19;TRUE;  460;Recurso Inominado Cível;17784;1ª Turma Recursal do Paraná;7;NA;NA;NA;NA;NA;10945;Expurgos Inflacionários / Planos Econômicos;10945 460; 3697;1;0;4;2
   39;1,00E+17;FALSE;  198;Apelação Cível;67818;Gab. 23 - DESEMBARGADOR FEDERAL NOVÉLY VILANOVA;3;NA;NA;NA;NA;NA; 5945;IPI/ Imposto sobre Produtos Industrializados;5945 198;  117;1;0;1;2
   40;5,04E+19;TRUE; 1116;Execução Fiscal;12877;7ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
   41;5,32E+17;TRUE;    7;Procedimento Comum Cível;12296;1ª Vara Federal de Niterói;7;NA;NA;NA;NA;NA; 6152;Gratificação Natalina a partir da CF/88 (Art. 201, § 6º CF/88);6152 7;   99;1;0;2;2
   42;1,15E+16;FALSE;  283;Ação Penal - Procedimento Ordinário;16180;1ª Vara Federal de Uruguaiana;7;NA;NA;NA;NA;NA; 3415;Crimes contra o Patrimônio;3415 283;  537;1;0;4;268
   43;1,37E+17;TRUE;    7;Procedimento Comum Cível;12267;6ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6072;FNT/Fundo Nacional de Telecomunicações;6072 7;  158;1;0;2;2
   44;5,04E+16;TRUE; 1116;Execução Fiscal;12162;5ª Vara Federal;7;NA;NA;NA;NA;NA;10395;Multas e demais Sanções;10395 1116; 5743;0;1;5;2
   45;8,04E+18;TRUE;  386;Execução da Pena;12151;9ª Vara Federal Criminal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 3432;Estelionato Majorado;3432 386;  193;1;0;2;385
   46;1,51E+14;TRUE; 1116;Execução Fiscal;11914;2ª Vara Federal de Cascavel;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
   47;2,35E+16;FALSE;  198;Apelação Cível;21698;GAB. 29 - DES.FED. LUIZ STEFANINI;3;NA;NA;NA;NA;NA; 6177;Concessão;6177 198; 1183;1;0;3;2
   48;6,12E+17;FALSE; 1116;Execução Fiscal;12691;19ª Vara Federal de Curitiba;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
   49;3,75E+17;TRUE;    7;Procedimento Comum Cível;17764;13ª Vara Federal;7;NA;NA;NA;NA;NA; 6139;Reajuste pela Súmula 260 do TFR;6139 7;  604;1;0;2;2
   50;1,32E+16;FALSE; 1116;Execução Fiscal;18196;13ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
   51;5,04E+19;TRUE; 1733;Procedimento Investigatório Criminal (PIC-MP);12261;8ª Vara Federal Criminal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 3426;Dano;3426 1733;    6;1;1;2;268
   52;9,43E+16;TRUE;  198;Apelação Cível;63780;Gabinete da Vice-Presidência;3;NA;NA;NA;NA;NA;10288;Sistema Remuneratório e Benefícios;10288 198;   39;0;1;2;2
   53;6,16E+16;TRUE; 1727;Petição Criminal;12542;5ª VARA FEDERAL DE CAMPO GRANDE;7;NA;NA;NA;NA;NA;10907;Transferência de Preso;10907 1727;   40;1;0;3;268
   54;5,01E+19;TRUE;  460;Recurso Inominado Cível;18360;5ª Turma Recursal do Rio Grande do Sul;7;NA;NA;NA;NA;NA;10154;Expurgos Inflacionários / Planos Econômicos;10154 460;  857;0;1;4;2
   55;1,55E+17;TRUE;    7;Procedimento Comum Cível;12244;27ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA;10223;Enquadramento;10223 7;  124;0;1;2;2
   56;5,09E+18;FALSE;  436;Procedimento do Juizado Especial Cível;16531;14a. Vara Federal;1;NA;NA;NA;NA;NA; 6095;Aposentadoria por Invalidez;6095 436; 3121;1;0;5;2
   57;6,69E+16;FALSE;    7;Procedimento Comum Cível;53047;1ª RELATORIA DA TURMA RECURSAL DOS JEF'S/RN;1;NA;NA;NA;NA;NA;10315;Índice de 84,32% março/1990;10315 7;   39;0;1;5;2
   58;5,00E+19;FALSE; 1116;Execução Fiscal;14012;3ª VARA FEDERAL DE GUARULHOS;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   59;7,30E+18;FALSE;  208;Embargos Infringentes;21722;TERCEIRA SE??O;3;NA;NA;NA;NA;NA; 6121;RMI pelo art. 202 CF/88 (média dos 36 últimos salários-de-contribuição);6121 208;    4;1;1;3;2
   60;7,29E+15;TRUE; 1116;Execução Fiscal;13846;4ª VARA FEDERAL DE PIRACICABA;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   61;1,87E+16;TRUE; 1116;Execução Fiscal;12364;1ª Itabuna;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;1;2
   62;4,02E+16;TRUE; 1116;Execução Fiscal;13997;9ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   63;4,53E+17;FALSE;  198;Apelação Cível;67818;Gab. 23 - DESEMBARGADOR FEDERAL NOVÉLY VILANOVA;3;NA;NA;NA;NA;NA;10887;Ausência de Cobrança Administrativa Prévia;10887 198;   78;1;0;1;2
   64;3,54E+16;FALSE; 1116;Execução Fiscal;53042;2ª RELATORIA DA 2ª TURMA RECURSAL DOS JEF'S/PE;1;NA;NA;NA;NA;NA;10436;Lei de Imprensa;10436 1116; 2054;1;0;5;2
   65;9,54E+15;FALSE;  305;Liberdade Provisória com ou sem fiança;12182;16ª VARA FEDERAL;7;NA;Falsificação do selo ou sinal público;NA;NA;NA; 3523;Crimes contra a Fé Pública;3523 305;   10;1;1;5;268
   66;8,03E+18;TRUE; 1727;Petição Criminal;12223;2ª Vara Federal;7;NA;NA;NA;NA;NA;10907;Transferência de Preso;10907 1727;   40;1;0;5;268
   67;5,98E+18;TRUE; 1116;Execução Fiscal;12872;2ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
   68;9,28E+16;TRUE;  283;Ação Penal - Procedimento Ordinário;13712;2ª - Belém;7;NA;NA;NA;NA;NA; 3432;Estelionato Majorado;3432 283; 1974;1;0;1;268
   69;1,76E+15;TRUE;  290;Processo Sumário (Detenção);12412;1ª Santarém;7;NA;NA;NA;NA;NA; 5841;Duplicata Simulada;5841 290;    1;1;1;1;268
   70;4,11E+16;FALSE;  198;Apelação Cível;21715;GABINETE DA CONCILIAÇÃO;3;NA;NA;NA;NA;NA; 6182;Averbação/Cômputo/Conversão de tempo de serviço especial;6182 198;  297;1;0;3;2
   71;5,02E+19;FALSE;  198;Apelação Cível;44536;GAB. 43 (Des. Federal RICARDO TEIXEIRA DO VALLE PEREIRA);3;NA;NA;NA;NA;NA; 7620;Estabelecimentos de Ensino;7620 198;    2;1;1;4;2
   72;3,84E+17;TRUE;  460;Recurso Inominado Cível;18487;12ª Vara JEF - São Luís;7;NA;NA;NA;NA;NA;10305;Gratificações de Atividade;10305 460;  161;0;1;1;2
   73;5,00E+19;FALSE;  120;Mandado de Segurança Cível;12456;5ª VARA FEDERAL DE RIBEIRÃO PRETO;7;NA;NA;NA;NA;NA; 5989;Parcelamento;5989 120;   24;1;0;3;2
   74;1,12E+17;FALSE; 1728;Apelação / Remessa Necessária;21711;GABINETE DA VICE-PRESIDÊNCIA ;3;NA;NA;NA;NA;NA; 6036;Contribuição Social sobre o Lucro Líquido;6036 1728;   46;1;0;3;2
   75;4,33E+16;TRUE; 1116;Execução Fiscal;12192;5ª Vara Federal;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;5;2
   76;3,60E+17;FALSE;  202;Agravo de Instrumento;67815;Gab. 24 - DESEMBARGADOR FEDERAL MARCOS AUGUSTO DE SOUSA;3;NA;NA;NA;NA;NA; 5917;IRPF/Imposto de Renda de Pessoa Física;5917 202;   21;1;0;1;2
   77;4,28E+16;TRUE;  386;Execução da Pena;12442;1ª VARA FEDERAL CRIMINAL DE SÃO PAULO;7;NA;NA;NA;NA;NA; 7942;Execução Penal e de Medidas Alternativas;7942 386; 1496;1;0;3;385
   78;5,00E+19;TRUE; 1116;Execução Fiscal;12588;5ª Vara Federal de Joinville;7;NA;NA;NA;NA;NA;10395;Multas e demais Sanções;10395 1116; 5743;0;1;4;2
   79;5,22E+18;FALSE; 1116;Execução Fiscal;13989;1? VARA FEDERAL DE EXECU??ES FISCAIS DE S?O PAULO;7;NA;NA;NA;NA;NA; 6048;Contribuições Previdenciárias;6048 1116; 2211;1;0;3;2
   80;4,53E+17;TRUE;  279;Inquérito Policial;12239;1ª Vara Federal Criminal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 3431;Estelionato;3431 279;  323;1;0;2;268
   81;3,99E+17;FALSE; 1294;Outros procedimentos de jurisdição voluntária;12641;3ª Vara Federal de Curitiba;7;NA;NA;NA;NA;NA;10158;FGTS/Fundo de Garantia por Tempo de Serviço;10158 1294;  133;0;1;4;2
   82;8,04E+18;TRUE; 1733;Procedimento Investigatório Criminal (PIC-MP);12151;9ª Vara Federal Criminal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 8893;Atos Processuais;8893 1733;    7;0;1;2;268
   83;5,00E+19;TRUE; 1116;Execução Fiscal;13843;1ª VARA FEDERAL DE OSASCO;7;NA;NA;NA;NA;NA;10395;Multas e demais Sanções;10395 1116; 5743;0;1;3;2
   84;1,76E+17;TRUE;  279;Inquérito Policial;12424;1ª - Teresina;7;NA;NA;NA;NA;NA; 3614;Crimes contra a Ordem Tributária;3614 279;  409;1;0;1;268
   85;2,04E+17;TRUE;  355;Carta Precatória Criminal;17686;9ª - Belo Horizonte;7;NA;NA;NA;NA;NA;    0;NA;0 355;  653;0;1;1;268
   86;5,06E+15;TRUE; 1116;Execução Fiscal;12894;2ª Vara de Execução Fiscal de São João de Meriti;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
   87;3,20E+17;FALSE; 1710;Mandado de Segurança Criminal;12931;5? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA;10020;Registro de Trabalho Portuário/Órgão de Gestão de Mão-de-Obra;10020 1710;    5;0;1;3;268
   88;5,09E+18;TRUE;  197;Recursos;17825;Primeira Turma;1;NA;NA;NA;NA;NA; 6176;Parcelas de benefício não pagas;6176 197;  166;1;0;5;2
   89;3,60E+15;TRUE; 1116;Execução Fiscal;12503;2ª VARA FEDERAL DE SÃO BERNARDO DO CAMPO;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   90;1,62E+15;FALSE;  198;Apelação Cível;14190;GAB. DES. FEDERAL MANOEL DE OLIVEIRA ERHARDT;3;NA;NA;NA;NA;NA;10683;Fato Superveniente ao Término do Prazo para Impugnação;10683 198;    6;1;1;5;2
   91;5,00E+19;FALSE; 1116;Execução Fiscal;12488;3ª VARA FEDERAL DE SOROCABA;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   92;5,68E+16;FALSE;  460;Recurso Inominado Cível;12982;28ª Vara JEF- Belo Horizonte;7;NA;NA;NA;NA;NA; 6118;Aposentadoria por Tempo de Contribuição (Art. 55/6);6118 460;  419;1;0;1;2
   93;5,10E+18;TRUE; 1111;Execução de Título Judicial;12216;19ª Vara Federal;1;NA;NA;NA;NA;NA;12754;Auxílio Emergencial (Lei 13.982/2020);12754 1111;  118;1;0;5;2
   94;4,13E+16;FALSE;    7;Procedimento Comum Cível;12208;11ª VARA FEDERAL;7;NA;NA;NA;NA;NA; 5945;IPI/ Imposto sobre Produtos Industrializados;5945 7;   90;1;0;5;2
   95;7,73E+18;TRUE;    7;Procedimento Comum Cível;12252;28ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA;10349;Reforma;10349 7;  263;0;1;2;2
   96;5,00E+19;TRUE;  261;Carta Precatória Cível;63821;Diretoria de Nova Iguaçu;7;NA;NA;NA;NA;NA;10045;Diplomas/Certificado de Conclusão do Curso;10045 261;   26;0;1;2;2
   97;3,72E+15;TRUE;  417;Apelação Criminal;21711;GABINETE DA VICE-PRESIDÊNCIA ;3;NA;NA;NA;NA;NA; 3574;Contrabando ou descaminho;3574 417;  464;1;0;3;268
   98;5,00E+19;FALSE; 1116;Execução Fiscal;14008;4ª VARA FEDERAL DE SÃO JOSÉ DOS CAMPOS;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
   99;1,11E+16;TRUE;  283;Ação Penal - Procedimento Ordinário;12302;2ª Vara Federal de Petrópolis;7;NA;NA;NA;NA;NA; 3574;Contrabando ou descaminho;3574 283; 3259;1;0;2;268
  100;2,21E+15;TRUE;  460;Recurso Inominado Cível;67876;1ª TR - R3 - Salvador;7;NA;NA;NA;NA;NA; 6114;Benefício Assistencial (Art. 203,V CF/88);6114 460;  446;1;0;1;2
  101;1,07E+17;TRUE; 1116;Execução Fiscal;12186;20ª Vara Federal;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;5;2
  102;6,35E+16;FALSE; 1114;Execução Contra a Fazenda Pública;12168;3ª VARA FEDERAL;7;NA;Militar;NA;NA;NA; 9985;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;9985 1114;    8;0;1;5;2
  103;5,04E+18;TRUE;  436;Procedimento do Juizado Especial Cível;12196;9a. Vara Federal;1;NA;NA;NA;NA;NA; 6114;Benefício Assistencial (Art. 203,V CF/88);6114 436; 1608;1;0;5;2
  104;3,50E+15;FALSE; 1232;Exceção de Incompetência;12647;6ª Vara Federal de Florianópolis;7;NA;NA;NA;NA;NA;  899;DIREITO CIVIL;899 1232;  755;1;0;4;2
  105;5,00E+19;TRUE;  386;Execução da Pena;11928;1ª Vara Federal de Umuarama;7;NA;NA;NA;NA;NA; 7942;Execução Penal e de Medidas Alternativas;7942 386; 1496;1;0;4;385
  106;3,11E+16;TRUE; 1116;Execução Fiscal;13995;7ª VARA FEDERAL DE EXECUÇÕES FISCAIS DE SÃO PAULO;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
  107;5,01E+19;TRUE; 1116;Execução Fiscal;12696;5ª Vara Federal de Maringá;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;4;2
  108;9,37E+18;FALSE; 1114;Execução Contra a Fazenda Pública;12947;22? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 6035;Cofins;6035 1114;   77;1;0;3;2
  109;2,28E+16;FALSE; 1118;Embargos à Execução Fiscal;12651;11ª Vara Federal de Curitiba;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1118; 1200;1;0;4;2
  110;5,00E+19;TRUE;  279;Inquérito Policial;12442;1ª VARA FEDERAL CRIMINAL DE SÃO PAULO;7;NA;NA;NA;NA;NA; 3572;Desobediência;3572 279;  129;1;0;3;268
  111;5,00E+19;TRUE; 1116;Execução Fiscal;13905;1ª VARA FEDERAL DE MOGI DAS CRUZES;7;NA;NA;NA;NA;NA; 6046;Conselhos Regionais e Afins (Anuidade);6046 1116;14250;1;0;3;2
  112;4,56E+14;TRUE; 1116;Execução Fiscal;17646;12ª - Goiânia;7;NA;NA;NA;NA;NA; 6048;Contribuições Previdenciárias;6048 1116; 2211;1;0;1;2
  113;3,09E+17;TRUE;  386;Execução da Pena;12151;9ª Vara Federal Criminal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 3555;Corrupção passiva;3555 386;   11;1;0;2;385
  114;4,05E+16;TRUE; 1116;Execução Fiscal;12162;5ª Vara Federal;7;NA;NA;NA;NA;NA;10435;Acidente de Trânsito;10435 1116;  379;1;0;5;2
  115;4,97E+16;FALSE;11790;Impugnação de Assistência Judiciária;12521;1ª VARA FEDERAL DE ARARAQUARA;7;NA;NA;NA;NA;NA; 5919;Incidência sobre Aposentadoria;5919 11790;    3;0;1;3;268
  116;7,23E+18;FALSE; 1114;Execução Contra a Fazenda Pública;12934;8? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA;10422;Pagamento Atrasado / Correção Monetária;10422 1114;    6;0;1;3;2
  117;6,27E+16;FALSE;  198;Apelação Cível;67824;Gab. 13 - DESEMBARGADOR FEDERAL SOUZA PRUDENTE;3;NA;NA;NA;NA;NA; 4960;Cédula de Crédito Bancário;4960 198;   20;1;0;1;2
  118;2,51E+17;FALSE;    7;Procedimento Comum Cível;12663;3ª Vara Federal de Criciúma;7;NA;NA;NA;NA;NA;  195;DIREITO PREVIDENCIÁRIO;195 7;  834;1;0;4;2
  119;5,04E+18;TRUE;  436;Procedimento do Juizado Especial Cível;16982;15a. Vara Federal;1;NA;NA;NA;NA;NA; 6098;Rural (Art. 48/51);6098 436; 1569;1;0;5;2
  120;2,05E+16;TRUE;  460;Recurso Inominado Cível;67891;2ª TR - R3 - Brasília;7;NA;NA;NA;NA;NA;10154;Expurgos Inflacionários / Planos Econômicos;10154 460;  857;0;1;1;2
  121;8,45E+17;FALSE;    7;Procedimento Comum Cível;12939;13? VARA FEDERAL C?VEL DE S?O PAULO;7;NA;NA;NA;NA;NA; 6035;Cofins;6035 7;  158;1;0;3;2
  122;5,00E+19;TRUE;  460;Recurso Inominado Cível;17784;1ª Turma Recursal do Paraná;7;NA;NA;NA;NA;NA;10945;Expurgos Inflacionários / Planos Econômicos;10945 460; 3697;1;0;4;2
  123;7,38E+18;TRUE;    7;Procedimento Comum Cível;12245;14ª Vara Federal do Rio de Janeiro;7;NA;NA;NA;NA;NA;10243;Complementação de Benefício/Ferroviário;10243 7;  132;0;1;2;2
  124;8,62E+15;FALSE;  460;Recurso Inominado Cível;21640;GAB. 14 DE JUIZ FED. DA 5º TURMA RECURSAL DO JEF DE SÃO PAULO;1;NA;NA;NA;NA;NA; 5922;Retido na fonte;5922 460;   15;1;0;3;2
  125;6,71E+16;FALSE; 1116;Execução Fiscal;12219;22ª VARA FEDERAL;7;NA;NA;NA;NA;NA; 6049;Servidores Ativos;6049 1116;  955;1;0;5;2
  126;5,05E+18;TRUE;  436;Procedimento do Juizado Especial Cível;12224;3a. Vara Federal;1;NA;NA;NA;NA;NA; 6095;Aposentadoria por Invalidez;6095 436; 3121;1;0;5;2
  127;1,25E+15;TRUE; 1116;Execução Fiscal;12521;1ª VARA FEDERAL DE ARARAQUARA;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;3;2
  128;5,81E+18;TRUE; 1116;Execução Fiscal;12873;3ª Vara de Execução Fiscal do Rio de Janeiro;7;NA;NA;NA;NA;NA; 6017;Dívida Ativa;6017 1116;52788;1;0;2;2
